ingredient_id,ingredient_name,unit_of_measure,ingredient_type,calories,ingredient_status,creation_date,last_modification
1,Pollo,KILOGRAMOS,CARNE,165.0,APPROVED,2023-10-01T10:00:00,2023-10-10T12:00:00
2,Lechuga,PIEZA,VERDURA,5.0,APPROVED,2023-10-02T09:30:00,2023-10-10T13:00:00
3,Tomate,PIEZA,VERDURA,18.0,APPROVED,2023-10-03T11:15:00,2023-10-10T14:00:00
4,Arroz,GRAMOS,CEREAL,130.0,APPROVED,2023-10-04T08:45:00,2023-10-10T15:00:00
5,Salmon,GRAMOS,PESCADO,206.0,APPROVED,2023-10-05T10:30:00,2023-10-10T16:00:00
6,Manzana,PIEZA,FRUTA,52.0,APPROVED,2023-10-06T07:50:00,2023-10-10T17:00:00
7,Lentejas,GRAMOS,LEGUMBRE,116.0,APPROVED,2023-10-07T09:10:00,2023-10-10T18:00:00
8,Aceite de oliva,CUCHARADA,ACEITE,119.0,APPROVED,2023-10-08T10:20:00,2023-10-10T19:00:00
9,Huevo,PIEZA,HUEVO,78.0,APPROVED,2023-10-09T08:40:00,2023-10-10T20:00:00
10,Pasta,GRAMOS,PASTA,131.0,APPROVED,2023-10-10T07:00:00,2023-10-10T21:00:00
